"id","latitude","longitude","type","brand","taken","pickedup","imageUri","ByteArrayImage","X"
"44","'7A21903E-5217-4D48-83CD-28E47DDA563C'",52.363113,4.946163," Pouch"," Capri-Sun"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171346_3_16997012552_l.jpg'"," ''",NA
"45","'CDB1E7F9-CDCB-4E12-B76E-7A3F9FDECF5E'",52.363113,4.946163," Aluminium blikje"," Slammers"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_171404_1_16997010972_l.jpg'"," ''",NA
"46","'CF4764DC-E195-4760-A7D8-7EE609DC6C19'",52.363105,4.950375," Aluminium blikje"," AH"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_172100_16812215149_l.jpg'"," ''",NA
"47","'9EE2F4E5-211A-42DB-953E-9732AF7418CB'",52.362738,4.945555," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150331_173118_16997001412_l.jpg'"," ''",NA
"48","'4D72D042-6D25-45D8-8940-EC667C0F09F4'",52.388672,4.857502," Aluminium blikje"," Dommelsch"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_175738_16456878013_l.jpg'"," ''",NA
"49","'5C2AE290-84B2-42B1-859C-E7A713767381'",52.38863,4.860963," Kleine PET-fles"," Pepsi"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_180009_17075545412_l.jpg'"," ''",NA
"50","'F761BB48-E344-45C1-BAF8-7145236E9737'",52.388977,4.862619," Aluminium blikje"," Amstel"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_180101_17051069416_l.jpg'"," ''",NA
"51","'9C52FF30-F77C-492D-939B-D81B898C96F6'",52.388827,4.863383," Aluminium blikje"," Heineken"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_180134_16454590124_l.jpg'"," ''",NA
"52","'DCF49741-3B7E-4C5A-AB40-B4B6FC6FA26F'",52.386211,4.874061," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_182924_16869628727_l.jpg'"," ''",NA
"53","'E088E34F-7F9B-43E2-8B4B-2F09E80CCF5A'",52.386069,4.874547," Kartonnen pakje"," Chocomel"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150403_183124_17077031465_l.jpg'"," ''",NA
"54","'C907830C-0DC6-4045-94C0-EAF7A4C001D6'",52.363227,4.94678," Kleine PET-fles"," AA"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_133943_2_16880146529_l.jpg'"," ''",NA
"55","'BEB03BEA-AC2C-4372-8C13-6CB10B1FC8E2'",52.363736,4.94655," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_134205_1_16858960947_l.jpg'"," ''",NA
"56","'5C563441-6633-4BD7-8C87-14C08D78499F'",52.363844,4.946547," Pouch"," Capri-Sonne"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_134229_17066364115_l.jpg'"," ''",NA
"57","'B18B5926-3DC4-46ED-9C9F-829431297C51'",52.363944,4.946555," Kleine PET-fles"," Spa"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_134341_16443912974_l.jpg'"," ''",NA
"58","'A613ED1F-5EA2-4C8A-ABB0-1FD81FB649BD'",52.363944,4.946555," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_134446_16446207243_l.jpg'"," ''",NA
"59","'55471C27-2B83-41F5-B7FE-1B2EDD59F054'",52.364055,4.946486," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_134859_17064828912_l.jpg'"," ''",NA
"60","'9457F61D-70F7-49B2-AC4A-3DBDD26CC8AF'",52.365322,4.951622," Aluminium blikje"," Fernandes"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135041_17065587721_l.jpg'"," ''",NA
"61","'04FFB106-3693-47E4-BAC2-53C3821FC848'",52.365322,4.951622," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135048_1_17065585541_l.jpg'"," ''",NA
"62","'06165DC0-D0E3-46EC-9E84-84F7C3D2FE09'",52.365627,4.950522," Aluminium blikje"," Bullit"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135124_16446201213_l.jpg'"," ''",NA
"63","'3A296931-0DB0-4B7A-AEF9-A417E4D99489'",52.365477,4.950766," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135202_16878801600_l.jpg'"," ''",NA
"64","'889B4BE5-007C-4A12-81A2-C68EF903C46C'",52.365477,4.950766," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135206_17065578241_l.jpg'"," ''",NA
"65","'5447D98A-1FDC-4E13-A4E5-EB4FB16E0DDE'",52.365477,4.950766," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135249_17064868962_l.jpg'"," ''",NA
"66","'53160267-0487-47FB-AC8C-4809B6F74841'",52.365427,4.950802," Kleine PET-fles"," Coca Cola"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135418_16878793490_l.jpg'"," ''",NA
"67","'915DF647-AE45-40E4-AFF7-0F625A25F5BD'",52.365483,4.951694," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135447_16858936517_l.jpg'"," ''",NA
"68","'04B12E9F-9A89-41A7-8578-889B36252E44'",52.365344,4.951713," Aluminium blikje"," Red Bull"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135527_17064862682_l.jpg'"," ''",NA
"69","'89E46FF4-A6B8-433F-B79A-FEEA8FAD2E94'",52.365344,4.951713," Aluminium blikje"," Coca Cola"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_135602_17064860432_l.jpg'"," ''",NA
"70","'8BB9E499-3394-453C-B0CB-8C6B4EA0BD44'",52.36518,4.954111," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_140119_16443850364_l.jpg'"," ''",NA
"71","'C00680C7-9C8C-44DE-B8DF-63E202EFF0CE'",52.365886,4.955913," Kleine PET-fles"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_140134_17064858472_l.jpg'"," ''",NA
"72","'17ECCBE4-F27B-4C1C-A3C3-73700BD20631'",52.363536,4.953613," Kleine PET-fles"," Spa"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_141337_16878742750_l.jpg'"," ''",NA
"73","'C2EC1D52-3BA1-4B14-AA1F-303F57F46941'",52.363675,4.953291," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_141412_17065560151_l.jpg'"," ''",NA
"74","'F58AD709-12B9-4D99-9291-1706165ACECC'",52.363675,4.953291," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_141415_16443840324_l.jpg'"," ''",NA
"75","'E7A461AE-974E-46B0-9FBC-8E7EF3EC99A8'",52.363675,4.953291," Aluminium blikje"," Anders"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_141421_17040350276_l.jpg'"," ''",NA
"76","'7332969F-D8C9-4FA0-A7F0-C62BF8E17449'",52.363675,4.953291," Aluminium blikje"," Fanta"," 2015-05-31 22:00:00 +00:00",0," 'http://trashhuntersappblob.blob.core.windows.net:80/trash/20150404_142250_17064850432_l.jpg'"," ''",NA
